date,portfolio_value,cash,shares_held,trade_type,trade_shares,trade_price
2024-10-30,121246.961886912,0.5536742717085872,92429,Buy,0,1.311778859585631
2024-10-31,118871.327247208,0.5536742717085872,92429,Buy,0,1.2860765947152548
2024-11-01,117170.39840438818,0.5536742717085872,92429,Buy,0,1.2676740495960843
2024-11-04,116660.10846520709,0.5536742717085872,92429,Buy,0,1.2621531639521728
2024-11-05,117476.56194974131,0.5536742717085872,92429,Buy,0,1.2709864682672063
2024-11-06,117062.6659945119,0.5536742717085872,92429,Buy,0,1.2665084802414848
2024-11-07,119761.48050025219,0.5536742717085872,92429,Buy,0,1.2957072653169512
2024-11-08,119608.22943254843,0.5536742717085872,92429,Buy,0,1.294049224358986
2024-11-11,118058.67638943871,0.5536742717085872,92429,Buy,0,1.2772844314573024
2024-11-12,118058.67638943871,0.5536742717085872,92429,Buy,0,1.2772844314573024
2024-11-13,118563.84406882233,0.5536742717085872,92429,Buy,0,1.2827498987823154
2024-11-14,120323.40976362894,0.5536742717085872,92429,Buy,0,1.3017868427588444
2024-11-15,118495.72669531203,0.5536742717085872,92429,Buy,0,1.2820129290703168
2024-11-18,120209.88659564266,0.5536742717085872,92429,Buy,0,1.3005586225250836
2024-11-19,120357.45976858784,0.5536742717085872,92429,Buy,0,1.3021552336854898
2024-11-20,120766.12928246458,0.5536742717085872,92429,Buy,0,1.306576676240064
2024-11-21,120493.68583381217,0.5536742717085872,92429,Buy,0,1.3036290791801324
2024-11-22,121259.94117233105,0.5536742717085872,92429,Buy,0,1.311919283969959
2024-11-25,122962.74528314447,0.5536742717085872,92429,Buy,0,1.330342117829607
2024-11-26,124205.78750905042,0.5536742717085872,92429,Buy,0,1.3437907348860068
2024-11-27,124132.00960437408,0.5536742717085872,92429,Buy,0,1.3429925232351574
2024-11-29,125494.2528930249,0.5536742717085872,92429,Buy,0,1.3577307903228768
2024-12-02,126777.02301864822,0.5536742717085872,92429,Buy,0,1.3716092281034795
2024-12-03,128513.88581621688,0.5536742717085872,92429,Buy,0,1.3904005468191278
2024-12-04,128718.2205731552,0.5536742717085872,92429,Buy,0,1.3926112680964144
2024-12-05,128735.24557563466,0.5536742717085872,92429,Buy,0,1.3927954635597373
